name,mass (g),fall,year,reclat,reclong,GeoLocation
Caldwell,12900.0,Found,1961.0,37.03333,-97.625,"(37.03333, -97.625)"
Calico Rock,7275.0,Found,1938.0,36.08333,-92.15,"(36.08333, -92.15)"
Calliham,40000.0,Found,1958.0,28.41667,-98.25,"(28.41667, -98.25)"
Cambria,16300.0,Found,1818.0,43.2,-78.8,"(43.2, -78.8)"
Campbellsville,15400.0,Found,1929.0,37.36667,-85.36667,"(37.36667, -85.36667)"
Canton,7030.0,Found,1894.0,34.2,-84.48333,"(34.2, -84.48333)"
Canyon,860.0,Found,1957.0,34.96667,-101.93333,"(34.96667, -101.93333)"
Canyon City,8600.0,Found,1875.0,40.9,-123.1,"(40.9, -123.1)"
Canyon Diablo,30000000.0,Found,1891.0,35.05,-111.03333,"(35.05, -111.03333)"
Canyonlands,1520.0,Found,1961.0,38.18333,-109.88333,"(38.18333, -109.88333)"
Carbo,454000.0,Found,1923.0,29.66667,-111.5,"(29.66667, -111.5)"
Carlton,81200.0,Found,1887.0,31.91667,-98.03333,"(31.91667, -98.03333)"
Carnegie,132700.0,Found,1963.0,35.16667,-98.64389,"(35.16667, -98.64389)"
Carthage,127000.0,Found,1840.0,36.26667,-85.98333,"(36.26667, -85.98333)"
Carver,94000.0,Found,1935.0,32.0,-86.0,"(32.0, -86.0)"
Casas Grandes,1545000.0,Found,1867.0,30.4,-107.8,"(30.4, -107.8)"
Casey County,723.0,Found,1877.0,37.25,-85.0,"(37.25, -85.0)"
Cashion,5896.8,Found,1936.0,35.84778,-97.70333,"(35.84778, -97.70333)"
Cavour,26210.0,Found,1938.0,44.221494,-98.059192,"(44.221494, -98.059192)"
Cedar (Kansas),4900.0,Found,1937.0,39.7,-98.98333,"(39.7, -98.98333)"
Cedar (Texas),26000.0,Found,1900.0,29.82806,-96.90861,"(29.82806, -96.90861)"
Cedartown,11300.0,Found,1898.0,34.01667,-85.26667,"(34.01667, -85.26667)"
Cee Vee,3600.0,Found,1959.0,34.2,-100.48333,"(34.2, -100.48333)"
Chamberlin,2400.0,Found,1941.0,36.2,-102.45,"(36.2, -102.45)"
Chambord,6600.0,Found,1904.0,48.45,-72.06667,"(48.45, -72.06667)"
Channing,15300.0,Found,1936.0,35.71667,-102.28333,"(35.71667, -102.28333)"
Charcas,1400000.0,Found,1804.0,23.08333,-101.01667,"(23.08333, -101.01667)"
Chesterville,16500.0,Found,1849.0,34.7,-81.2,"(34.7, -81.2)"
Chico,104800.0,Found,1954.0,36.5,-104.2,"(36.5, -104.2)"
Chico Hills,8030.0,Found,1951.0,36.0,-104.5,"(36.0, -104.5)"
Chico Mountains,212.0,Found,1915.0,29.0,-103.25,"(29.0, -103.25)"
Chihuahua City,54000.0,Found,1929.0,28.66667,-106.11667,"(28.66667, -106.11667)"
