name,mass (g),fall,year,reclat,reclong,GeoLocation
Fukutomi,11620.0,Fell,1882.0,33.18333,130.2,"(33.18333, 130.2)"
Futtehpur,4000.0,Fell,1822.0,25.95,80.81667,"(25.95, 80.81667)"
Galapian,132.7,Fell,1826.0,44.3,0.4,"(44.3, 0.4)"
Galim (a),36.1,Fell,1952.0,7.05,12.43333,"(7.05, 12.43333)"
Galim (b),28.0,Fell,1952.0,7.05,12.43333,"(7.05, 12.43333)"
Gambat,6400.0,Fell,1897.0,27.35,68.53333,"(27.35, 68.53333)"
Garhi Yasin,380.0,Fell,1917.0,27.88333,68.53333,"(27.88333, 68.53333)"
Garland,102.0,Fell,1950.0,41.68333,-112.13333,"(41.68333, -112.13333)"
Geidam,725.0,Fell,1950.0,12.91667,11.91667,"(12.91667, 11.91667)"
Gifu,14290.0,Fell,1909.0,35.53333,136.88333,"(35.53333, 136.88333)"
Girgenti,18000.0,Fell,1853.0,37.31667,13.56667,"(37.31667, 13.56667)"
Git-Git,480.0,Fell,1947.0,9.6,9.91667,"(9.6, 9.91667)"
Glanggang,1303.0,Fell,1939.0,-7.25,107.7,"(-7.25, 107.7)"
Glasatovo,152000.0,Fell,1918.0,57.35,37.61667,"(57.35, 37.61667)"
Gnadenfrei,1750.0,Fell,1879.0,50.66667,16.76667,"(50.66667, 16.76667)"
Gopalpur,1600.0,Fell,1865.0,24.23333,89.05,"(24.23333, 89.05)"
Grosnaja,3500.0,Fell,1861.0,43.66667,45.38333,"(43.66667, 45.38333)"
Gross-Divina,10500.0,Fell,1837.0,49.26667,18.71667,"(49.26667, 18.71667)"
Grossliebenthal,8000.0,Fell,1881.0,46.35,30.58333,"(46.35, 30.58333)"
Grüneberg,1000.0,Fell,1841.0,51.93333,15.5,"(51.93333, 15.5)"
Grzempach,690.0,Fell,1910.0,52.86667,16.63333,"(52.86667, 16.63333)"
Gualeguaychú,22000.0,Fell,1932.0,-33.0,-58.61667,"(-33.0, -58.61667)"
Guareña,39000.0,Fell,1892.0,38.73333,-6.01667,"(38.73333, -6.01667)"
Guêa,1915.0,Fell,1891.0,43.76667,20.23333,"(43.76667, 20.23333)"
Guidder,968.0,Fell,1949.0,9.91667,13.98333,"(9.91667, 13.98333)"
Gumoschnik,5700.0,Fell,1904.0,42.9,24.7,"(42.9, 24.7)"
Gurram Konda,28.0,Fell,1814.0,13.78333,78.56667,"(13.78333, 78.56667)"
Gütersloh,1000.0,Fell,1851.0,51.91667,8.38333,"(51.91667, 8.38333)"
Gyokukei,1320.0,Fell,1930.0,35.0,127.5,"(35.0, 127.5)"
Hachi-oji,0.2,Fell,1817.0,35.65,139.33333,"(35.65, 139.33333)"
Hainaut,9000.0,Fell,1934.0,50.31667,3.73333,"(50.31667, 3.73333)"
Hallingeberg,1456.0,Fell,1944.0,57.81667,16.23333,"(57.81667, 16.23333)"
Hamlet,3710.0,Fell,1959.0,41.38333,-86.6,"(41.38333, -86.6)"
Haraiya,1000.0,Fell,1878.0,26.8,82.53333,"(26.8, 82.53333)"
Haripura,315.0,Fell,1921.0,28.38333,75.78333,"(28.38333, 75.78333)"
Harleton,8360.0,Fell,1961.0,32.675,-94.51167,"(32.675, -94.51167)"
Harrison County,680.0,Fell,1859.0,38.25,-86.16667,"(38.25, -86.16667)"
Hashima,1110.6,Fell,1910.0,35.2945,136.70033,"(35.2945, 136.70033)"
Hassi-Jekna,1250.0,Fell,1890.0,28.95,0.81667,"(28.95, 0.81667)"
Hedeskoga,3500.0,Fell,1922.0,55.46667,13.78333,"(55.46667, 13.78333)"
Hedjaz,6100.0,Fell,1910.0,27.33333,35.66667,"(27.33333, 35.66667)"
Heredia,1000.0,Fell,1857.0,10.0,-84.1,"(10.0, -84.1)"
Hessle,20000.0,Fell,1869.0,59.85,17.66667,"(59.85, 17.66667)"
Higashi-koen,750.0,Fell,1897.0,33.6,130.43333,"(33.6, 130.43333)"
High Possil,4500.0,Fell,1804.0,55.9,-4.23333,"(55.9, -4.23333)"
Hökmark,305.5,Fell,1954.0,64.43333,21.2,"(64.43333, 21.2)"
Holbrook,220000.0,Fell,1912.0,34.9,-110.18333,"(34.9, -110.18333)"
Holetta,1415.0,Fell,1923.0,9.06667,38.41667,"(9.06667, 38.41667)"
Homestead,230000.0,Fell,1875.0,41.8,-91.86667,"(41.8, -91.86667)"
